Classifier,Fold,Accuracy,Precision (B),Precision (M),Recall (B),Recall (M),F-score (B),F-score (M),CV Score,Average CV Score,New CV score (1),New CV score (2),New CV score (3),New CV score (4),New CV score (5),New CV score (6),New CV score (7),New CV score (8),New CV score (9),New CV score (10)
Decision Tree Classifier,1,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8461538461538461,0.9102564102564102,0.94230769,0.92307692,0.88235294,0.90196078,0.88235294,0.94117647,0.90196078,0.88235294,0.90196078,0.90196078
Decision Tree Classifier,2,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8269230769230769,0.9278657616892911,0.96153846,0.96153846,0.92156863,0.90196078,0.8627451,0.98039216,0.88235294,0.94117647,0.84313725,0.90196078
Decision Tree Classifier,3,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9411764705882353,0.9061840120663651,0.92307692,0.84615385,0.94117647,0.84313725,0.92156863,0.96078431,0.92156863,0.92156863,0.90196078,0.90196078
Decision Tree Classifier,4,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9024886877828054,0.90384615,0.94230769,0.90196078,0.94117647,0.94117647,0.90196078,0.8627451,0.8627451,0.88235294,0.88235294
Decision Tree Classifier,5,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9100301659125188,0.90384615,1,0.8627451,0.98039216,0.90196078,0.82352941,0.98039216,0.90196078,0.92156863,0.88235294
Decision Tree Classifier,6,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9044494720965309,0.94230769,0.98076923,0.88235294,0.88235294,0.90196078,0.98039216,0.96078431,0.92156863,0.88235294,0.92156863
Decision Tree Classifier,7,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8823529411764706,0.9179864253393666,0.88461538,0.88461538,0.90196078,0.98039216,0.90196078,0.94117647,0.8627451,0.98039216,0.94117647,0.92156863
Decision Tree Classifier,8,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9019607843137255,0.9063348416289593,0.94230769,0.88461538,0.90196078,0.88235294,0.90196078,0.94117647,0.8627451,0.90196078,0.92156863,0.92156863
Decision Tree Classifier,9,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.8431372549019608,0.9081447963800906,0.84615385,0.98076923,0.94117647,0.92156863,0.92156863,0.92156863,0.92156863,0.90196078,0.92156863,0.88235294
Decision Tree Classifier,10,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9215686274509803,0.9141025641025642,0.94230769,0.88461538,0.92156863,0.92156863,0.94117647,0.98039216,0.8627451,0.88235294,0.90196078,0.88235294
Random Forest Classifier,1,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9230769230769231,0.9571266968325792,0.98076923,0.96153846,1,0.88235294,0.96078431,0.96078431,0.96078431,0.88235294 ,1,0.98039216
Random Forest Classifier,2,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9615384615384616,0.9511689291101055,0.96153846,0.90384615,0.98039216,0.96078431,0.90196078,0.96078431,0.96078431,0.94117647,0.96078431,0.98039216
Random Forest Classifier,3,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9215686274509803,0.9550904977375565,0.98076923,0.98076923,0.96078431,0.94117647,0.98039216,0.98039216,0.94117647,0.96078431,0.90196078,0.98039216
Random Forest Classifier,4,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9803921568627451,0.9609728506787331,0.98076923,0.96153846,0.92156863,0.90196078,1,0.96078431,0.92156863,0.98039216,0.96078431,0.96078431
Random Forest Classifier,5,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9019607843137255,0.9550904977375565,0.94230769,0.90384615,0.96078431,0.94117647,0.94117647,0.96078431,0.98039216,0.94117647,0.94117647,0.94117647
Random Forest Classifier,6,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9607843137254902,0.9588612368024132,0.90384615,0.94230769,0.92156863,0.94117647,0.96078431,0.96078431,0.96078431,0.92156863,0.98039216,0.98039216
Random Forest Classifier,7,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,1,0.9512443438914028,0.90384615,0.96153846,0.92156863,0.96078431,0.90196078,0.98039216,1,0.98039216,0.98039216,0.96078431
Random Forest Classifier,8,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.8823529411764706,0.9510558069381598,0.94230769,0.94230769,0.90196078,0.94117647,0.98039216,0.90196078,0.94117647,0.96078431,0.98039216,1
