Classifier,Fold,Accuracy,Precision (B),Precision (M),Recall (B),Recall (M),F-score (B),F-score (M),Cross-validation score,Average cross-validation score
Decision Tree Classifier,1,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9062971342383108
Decision Tree Classifier,2,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9121417797888386
Decision Tree Classifier,3,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9199472096530921
Decision Tree Classifier,4,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.8943815987933637
Decision Tree Classifier,5,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9197963800904978
Decision Tree Classifier,6,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9080693815987934
Decision Tree Classifier,7,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9179110105580695
Decision Tree Classifier,8,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9160633484162896
Decision Tree Classifier,9,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.918024132730015
Decision Tree Classifier,10,0.9298245614035088,0.94285714,0.90909091,0.94285714,0.90909091,0.94285714,0.90909091,0.9198717948717949,0.9198717948717949
Random Forest Classifier,1,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.951131221719457
Random Forest Classifier,2,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9569758672699848
Random Forest Classifier,3,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9551282051282051
Random Forest Classifier,4,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9570512820512821
Random Forest Classifier,5,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9570135746606334
Random Forest Classifier,6,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9550527903469079
Random Forest Classifier,7,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9530920060331824
Random Forest Classifier,8,0.9649122807017544,0.97142857,0.95454545,0.97142857,0.95454545,0.97142857,0.95454545,0.9570512820512821,0.9550904977375566
