Classifier,Fold,Accuracy,Precision (P),Precision (N),Recall (P),Recall (N),F-score (P),F-score (N),CV Score,Average CV Score,New CV score (1),New CV score (2),New CV score (3),New CV score (4),New CV score (5),New CV score (6),New CV score (7),New CV score (8),New CV score (9),New CV score (10)
Decision Tree Classifier,1,0.9090909090909091,1,0.83333333,0.83333333,1,0.90909091,0.90909091,0.9,0.7066666666666667,0.9,0.8,0.6,0.77777778,0.66666667,0.33333333,0.66666667,0.66666667,0.88888889,0.55555556
Decision Tree Classifier,2,0.9090909090909091,1,0.83333333,0.83333333,1,0.90909091,0.90909091,0.8,0.7188888888888888,0.9,0.8,0.4,0.77777778,0.66666667,0.44444444,0.77777778,0.66666667,0.77777778,0.66666667
Decision Tree Classifier,3,0.8181818181818182,0.83333333,0.8,0.83333333,0.8,0.83333333,0.8,0.6,0.7188888888888888,0.9,0.8,0.6,0.77777778,0.66666667,0.33333333,0.77777778,0.66666667,0.88888889,0.88888889
Decision Tree Classifier,4,0.8181818181818182,0.83333333,0.8,0.83333333,0.8,0.83333333,0.8,0.7777777777777778,0.7088888888888889,0.9,0.8,0.6,0.77777778,0.66666667,0.44444444,0.66666667,0.66666667,0.77777778,0.55555556
Decision Tree Classifier,5,0.8181818181818182,0.83333333,0.8,0.83333333,0.8,0.83333333,0.8,0.6666666666666666,0.698888888888889,0.9,0.8,0.5,0.77777778,0.66666667,0.44444444,0.66666667,0.66666667,0.88888889,0.55555556
Decision Tree Classifier,6,0.9090909090909091,1,0.83333333,0.83333333,1,0.90909091,0.90909091,0.4444444444444444,0.6966666666666667,0.9,0.8,0.5,0.77777778,0.66666667,0.44444444,0.77777778,0.66666667,0.77777778,0.88888889
Decision Tree Classifier,7,0.9090909090909091,1,0.83333333,0.83333333,1,0.90909091,0.90909091,0.7777777777777778,0.7100000000000001,0.9,0.8,0.5,0.77777778,0.66666667,0.44444444,0.77777778,0.66666667,0.88888889,0.77777778
Decision Tree Classifier,8,0.8181818181818182,0.83333333,0.8,0.83333333,0.8,0.83333333,0.8,0.6666666666666666,0.7411111111111112,0.9,0.8,0.6,0.77777778,0.66666667,0.44444444,0.66666667,0.66666667,0.77777778,0.88888889
Decision Tree Classifier,9,0.8181818181818182,0.83333333,0.8,0.83333333,0.8,0.83333333,0.8,0.8888888888888888,0.6855555555555556,0.9,0.8,0.7,0.77777778,0.66666667,0.44444444,0.66666667,0.66666667,0.88888889,0.77777778
Decision Tree Classifier,10,0.9090909090909091,1,0.83333333,1,0.83333333,1,0.83333333,0.6666666666666666,0.6977777777777778,0.9,0.8,0.6,0.77777778,0.66666667,0.44444444,0.66666667,0.66666667,0.88888889,0.88888889
